tenure_months,monthly_charges,has_tech_support,churn,contract_type_one-year,contract_type_two-year,has_internet_service_fiber,has_internet_service_none
8,67.04322476632413,0,1,True,False,True,False
42,57.48522727968046,0,1,False,False,False,False
34,41.99245480393742,1,0,False,False,False,True
22,87.4236561628199,0,0,True,False,True,False
63,40.146149579316045,0,0,False,False,False,False
67,41.67577113219849,1,1,False,False,False,True
23,107.62966404914847,0,1,False,False,False,False
33,98.61826691982132,0,1,False,False,True,False
20,31.131432147755014,0,1,False,False,True,False
54,20.822313138889157,0,0,True,False,True,False
11,57.81548185607417,1,1,True,False,False,True
57,47.9594370523232,0,0,True,False,True,False
52,46.45462862260417,0,1,False,False,True,False
44,114.07170796391084,1,0,False,False,False,True
56,50.98397715276783,1,0,False,False,True,False
63,74.60988080032908,1,0,False,True,False,True
4,46.17528690370237,0,1,True,False,False,True
21,117.78959877861266,0,0,False,False,False,True
66,65.95870058794439,1,0,False,False,False,True
64,80.61935374241403,1,1,True,False,False,True
19,119.01917892516715,0,0,False,True,True,False
33,61.36447548453982,1,1,True,False,False,True
22,82.2515868412716,0,1,False,False,False,True
54,69.16133448403306,1,0,False,False,True,False
51,92.55682475599482,1,0,False,False,True,False
4,46.08351628039763,1,0,False,False,False,True
69,106.12493851830652,0,0,False,False,False,False
26,104.8752700565235,1,0,False,True,False,True
39,97.59739087498882,0,0,True,False,False,False
57,99.65485540464984,0,0,True,False,False,False
49,58.23645979167109,0,0,False,False,True,False
35,22.826470104997767,1,0,True,False,True,False
22,78.27214759837787,0,0,False,False,False,False
30,112.86063295770197,1,0,True,False,True,False
49,34.79547387739707,1,1,False,False,True,False
67,66.48709301543437,1,0,True,False,False,False
64,95.8673884686781,0,0,False,False,False,True
59,93.91246671365462,0,0,False,False,False,False
68,58.95491644815225,0,0,False,False,False,True
51,118.6355795505741,0,0,False,False,True,False
68,43.56871143307095,0,0,False,False,False,True
51,108.54387643623058,1,1,True,False,False,False
61,20.02408745178665,0,0,False,False,True,False
30,26.38757838618884,0,1,False,False,True,False
36,84.4716837814743,1,1,False,False,True,False
3,68.13558321078523,1,0,True,False,True,False
52,115.41537271191778,1,1,True,False,False,False
53,54.48737836932098,0,1,False,False,False,False
25,20.17248221098407,1,0,False,False,False,False
51,49.15169281511923,1,0,False,True,True,False
68,36.988667480662,1,1,True,False,True,False
12,70.06966277953099,0,1,False,False,False,False
16,95.66227880899451,1,1,False,True,True,False
64,98.40617798284788,0,1,True,False,True,False
32,34.4898659307346,0,0,False,True,False,False
40,66.69674091637978,0,0,False,True,True,False
26,83.44531397556031,1,0,True,False,True,False
48,46.76667597694426,1,0,False,True,False,False
53,60.984767311835,1,0,False,False,False,True
72,22.13888466750798,0,1,False,False,False,False
45,100.5763832543007,1,1,False,False,True,False
47,113.6773949523002,0,1,False,False,True,False
29,102.06753834010703,0,0,False,False,False,False
31,38.83468732894501,0,0,False,False,False,False
53,75.5018524205291,0,1,False,False,False,False
45,37.551145246549616,1,1,False,False,False,True
2,77.44337572963585,1,1,False,False,False,False
37,57.575934780396295,1,0,True,False,True,False
19,114.42661596555509,1,0,False,False,False,False
69,76.1616159791455,1,0,False,False,True,False
60,48.039417859035055,0,0,False,False,True,False
32,114.95374371136518,1,0,False,False,False,False
39,41.152051774422745,0,0,False,True,True,False
55,103.96244958615608,0,0,True,False,False,False
38,20.41271546746039,0,1,False,False,False,False
62,48.73536617419967,1,0,False,False,False,True
18,20.437398228300932,1,1,True,False,True,False
43,110.80348763357216,0,1,False,False,True,False
53,80.72666701014879,1,0,False,False,False,False
6,111.5076765278806,1,0,False,False,False,False
40,92.73972938459517,1,0,False,True,True,False
68,54.767174146891136,0,0,True,False,False,True
28,44.185294706474615,0,0,False,False,True,False
5,75.81341581282149,1,0,True,False,True,False
67,74.24458060772068,1,1,False,False,False,True
31,28.94783829824174,1,0,True,False,False,False
37,24.905357258779382,1,0,False,False,False,True
14,115.98343813988768,0,1,False,False,False,True
19,38.43313489881913,0,1,False,False,False,True
5,41.71404040376719,1,0,True,False,False,False
41,78.67547966913881,1,0,False,False,True,False
37,76.40849216886251,0,0,False,False,False,True
24,116.88593354677884,0,1,True,False,False,False
38,52.14624779478045,1,0,True,False,False,False
8,66.24942740124382,1,0,False,True,True,False
15,22.677058570312784,1,0,True,False,True,False
64,111.54729875735153,0,0,False,True,False,False
62,64.24913136680374,0,0,True,False,True,False
10,77.57193053312042,1,0,False,True,False,False
10,54.34305880194931,0,0,False,True,False,True
51,59.78785874773685,1,0,True,False,False,True
53,64.96798508851572,0,1,True,False,True,False
38,98.4441542070729,0,1,False,False,False,False
8,117.37482141179603,0,1,False,False,True,False
2,69.39871801434913,1,0,True,False,False,False
65,30.25845603310208,1,0,True,False,False,True
47,51.96480275876248,0,1,True,False,False,False
25,52.53904235612395,0,0,False,False,False,False
60,77.96108992282839,0,0,True,False,True,False
32,89.831332394056,0,1,True,False,False,False
25,50.92561104732855,1,0,False,False,False,False
12,85.13361058002054,0,0,True,False,False,False
68,83.73048264283244,0,0,False,False,False,True
57,40.83836790088254,0,0,False,False,False,True
13,66.06637447107039,1,0,True,False,True,False
62,32.56611455795827,1,1,False,False,False,True
63,66.94348621540439,1,0,True,False,True,False
35,51.45460976033576,0,1,False,False,False,False
51,116.61780248345369,0,0,False,False,False,True
3,93.88274373511796,0,1,False,False,False,True
15,104.4209585776232,1,0,False,False,False,False
36,92.27620328396968,0,0,False,True,True,False
65,31.224107199158865,1,0,False,False,False,False
24,66.59667481861368,1,0,False,False,False,True
7,71.5736188374045,1,0,True,False,False,False
14,91.91965605136546,1,1,False,False,False,False
